id,title,content
1,China's DeepSeek trained AI model on Nvidia's best chip despite US ban official says,WASHINGTON Feb 23 (Reuters) - Chinese AI startup DeepSeek's latest AI model set to be released as soon as next week was trained on Nvidia's (NVDA.O) opens new tab most advanced AI chip the Blackwell a senior Trump administration official said on Monday in what could represent a violation of U.S. export controls.The U.S. believes DeepSeek will remove the technical indicators that might reveal its use of American AI chips the official said adding that the Blackwells are likely clustered at its data center in Inner Mongolia an autonomous region of China.
2,OpenAI says China's DeepSeek trained its AI by distilling US models memo shows,Feb 12 (Reuters) - OpenAI has warned U.S. lawmakers that Chinese artificial intelligence startup DeepSeek is targeting the ChatGPT maker and the nation's leading AI companies to replicate models and use them for its own training a memo seen by Reuters showed. Sam Altman-led OpenAI accused DeepSeek of "ongoing efforts to free-ride on the capabilities developed by OpenAI and other U.S. frontier labs."
3,ByteDance's new AI video model goes viral as China looks for second DeepSeek moment,BEIJING Feb 12 (Reuters) - ByteDance's new video-generating artificial intelligence model has already impressed the likes of Elon Musk and gone viral in China where it has been compared to DeepSeek and won praise for its ability to produce cinematic storylines with just a few prompts. While text-centric AI models such as OpenAI's ChatGPT and DeepSeek's R1 have become widely adopted models specialised in generating videos and pictures represent the next frontier in the technology's potential for disruption.
4,A year on from DeepSeek shock get set for flurry of low-cost Chinese AI models , BEIJING Feb 12 (Reuters) - One year after Chinese startup DeepSeek rattled the global tech industry with the release of a low-cost artificial intelligence model its domestic rivals are better prepared vying with it to launch new models some designed with more consumer appeal.The Hangzhou-based firm's meteoric rise in early 2025 during China's Spring Festival holiday upended China's AI industry pushing low-cost open-source models to the forefront of its AI ecosystem.
5,Nvidia helped DeepSeek hone AI models later used by China's military lawmaker says,SAN FRANCISCO Jan 28 (Reuters) - U.S. chipmaker Nvidia (NVDA.O) opens new tab helped China's DeepSeek hone artificial intelligence models that were later used by the Chinese military the chairman of a U.S. House of Representatives committee said in a letter seen by Reuters on Wednesday.DeepSeek shook markets early last year with a set of AI models that rivaled some of the best offerings from the United States but were developed with far less computing power fuelling concerns in Washington that China could catch up with the U.S. in AI despite U.S. restrictions on the sale of high-powered computing chips to China.
6,How China could use DeepSeek and AI for an era of war,BEIJING/SINGAPORE Oct 27 (Reuters) - China's state-owned defense giant Norinco in February unveiled a military vehicle capable of autonomously conducting combat-support operations at 50 kilometres per hour. It was powered by DeepSeek the company whose artificial intelligence model is the pride of China's tech sector.The Norinco P60’s release was touted by Communist Party officials in press statements as an early showcase of how Beijing is using DeepSeek and AI to catch up in its arms race with the United States at a time when leaders in both countries have urged their militaries to prepare for conflict.
7,Big Tech to invest about $650 billion in AI in 2026 Bridgewater says,Feb 23 (Reuters) - U.S. technology giants Alphabet (GOOGL.O) opens new tab Amazon (AMZN.O) opens new tab Meta (META.O) opens new tab and Microsoft (MSFT.O) opens new tab are expected to collectively invest about $650 billion to scale up AI-related infrastructure this year, according to an analysis by Bridgewater Associates.The investments would mark a sharp increase from $410 billion in 2025.
8,Skittish investors spooked as dystopian AI outlooks go viral,SINGAPORE Feb 24 (Reuters) - An imagined dystopia of mass unemployment fuelled by artificial intelligence highlighted in Citrini Research's now viral report has unsettled global markets where a recent huge bet on the technology is starting to show cracks. The report the latest in a series of gloomy "think pieces" on the disruptive potential of AI envisions a 2028 scenario where unemployment rises to 10.2% triggered by layoffs as AI rapidly turfs out software and delivery applications.
9,Big Tech will only partly dissolve AI water risk,MELBOURNE, Feb 24 (Reuters Breakingviews) - Barely two weeks into 2026, Nvidia (NVDA.O), opens new tab boss Jensen Huang and Microsoft (MSFT.O), opens new tab President Brad Smith seemed to have jointly defanged one of the biggest threats to the growth of artificial intelligence: water security. The Big Tech heavyweights laid out real and important progress in reducing the amount of H2O that data centres need. Yet they’re only offering a fix for part of the problem. Powering data centres is thirsty work. AI-driven growth alone could gulp down as much extra H2O a year by 2030 as Americans currently drink, estimates, opens new tab $85 billion hygiene and water treatment specialist Ecolab (ECL.N) opens new tab. Fears over whether that’s sustainable have helped fuel a data centre backlash.
10,Citi nears Banamex stake sale to investor group including Blackstone Bloomberg News reports,Feb 23 (Reuters) - Citigroup (C.N), opens new tab is nearing a deal to sell a 24% stake in its Mexican retail bank Grupo Financiero Banamex to a group of investors that includes Blackstone (BX.N), opens new tab, Bloomberg News reported on Monday, citing people familiar with the matter. The move would follow a 25% stake sale in Banamex late last year to a company owned by Mexican billionaire Fernando Chico Pardo and his family.
11,BofA commits $25 billion to private credit deals memo shows,Feb 19 (Reuters) - Bank of America (BAC.N), opens new tab is committing $25 billion to private credit deals, according to an internal memo seen by Reuters on Thursday, as the Wall Street giant prepares a war chest to further its advance in the lucrative slice of finance. Traditional banks such as BofA have been competing with private credit supplied by alternative asset managers. Private credit has become a key financing source for corporate America as tighter post‑crisis lending standards pushed borrowers to seek capital outside traditional banks.
12,From software to real estate U.S. sectors under the grip of AI scare trade,Feb 13 (Reuters) - Wall Street is in the grip of disruption worries from AI. It first started with investors dumping shares of software companies but soon spread to sectors seen as vulnerable to automation, driving sharp losses in U.S. stocks this week. The AI scare trade did not spare even sectors such as private credit, real estate brokers, data analytics, legal services and insurers.
13,Blackstone boosts stake in AI startup Anthropic to about $1 billion source says,Feb 10 (Reuters) - Blackstone (BX.N), opens new tab is increasing its investment in the Claude chatbot maker Anthropic, raising its stake to about $1 billion at a valuation of roughly $350 billion, a person familiar with the matter told Reuters on Tuesday. AI startups continue to attract heavy funding from global investors, driven by expectations of rapid growth and widespread commercial adoption.
14,Brookfield in talks to buy Blackstone's Fidere for $1.2 bln Expansion reports,MADRID, Feb 10 (Reuters) - Brookfield Asset Management (BAM.N), opens new tab is in exclusive talks with Blackstone (BX.N), opens new tab to purchase its residential real estate company Fidere (YFID.MC), opens new tab in Spain, Spanish newspaper Expansion reported on Tuesday, citing unidentified market sources. Both Brookfield and Blackstone declined to comment on the report.
15,OpenAI expects compute spend of around $600 billion through 2030 source says,Feb 20 (Reuters) - OpenAI is targeting roughly $600 billion in total compute spend through 2030, a source familiar with the matter told Reuters on Friday, as the ChatGPT maker lays groundwork for an IPO that could value it at up to $1 trillion. OpenAI's 2025 revenue totaled $13 billion, beating its $10 billion projection, while it spent $8 billion during the year, under its $9 billion target, the person said.
16,OpenAI developing AI devices including smart speaker The Information reports,Feb 20 (Reuters) - OpenAI has more than 200 people working on a family of AI-powered devices that will include a smart speaker and possibly smart glasses and a smart lamp, the Information reported on Friday, citing a person with knowledge of the plans. The smart speaker, the first device OpenAI will launch, is likely to be priced between $200 and $300, the report said, citing two people with knowledge of it. The speaker which however would not ship until February 2027 at earlies will have a camera enabling it to take in information about its users and their surroundings the report said.
17,AI pioneer Fei-Fei Li's World Labs raises $1 billion in funding,Feb 18 (Reuters) - Prominent computer scientist Fei-Fei Li's World Labs raised $1 billion in a funding round as the startup accelerates its efforts to advance "spatial intelligence." The startup said on Wednesday the investors included chip companies AMD (AMD.O), opens new tab, Nvidia (NVDA.O), opens new tab, software firm Autodesk (ADSK.O), opens new tab, Emerson Collective Fidelity Management & Research Company and Sea (SE.N) opens new tab among others.
18,AMD clinches second mega chip supply deal this time with Meta,SAN FRANCISCO, Feb 24 (Reuters) - Advanced Micro Devices (AMD.O), opens new tab said on Tuesday it has agreed to sell up to $60 billion worth of artificial intelligence chips to Meta Platforms (META.O), opens new tab over five years in a deal that allows the Facebook owner to purchase as much as 10% of the chip firm. AMD shares rose more than 11% in premarket trading after closing at $196.60 in the previous session.
19,AES Corp signs 20-year power supply deal with Google,Feb 24 (Reuters) - AES Corp (AES.N), opens new tab said on Tuesday it has signed a 20-year agreement with Google (GOOGL.O), opens new tab to supply power to the U.S. tech giant's new data center planned in Wilbarger County, Texas. AES said it has also signed deals for energy generation that will be co-located with the new data center and enable Google to expand its operations to meet demand for its core services.
20,AI's memory chip champion has a value problem,LONDON, Feb 20 (Reuters Breakingviews) - Not long ago, memory chip makers were in crisis. A post-pandemic supply glut in 2023 pushed prices into freefall, wiping out operating profits across the industry. Today, the mood could hardly be more different, as manufacturers rake in record earnings. But for an early frontrunner, South Korea's $448 billion SK Hynix (000660.KS) opens new tab the artificial intelligence boom has only sharpened its valuation problem.